KABUPATEN/ KOTA,CNR TB ,Sanitasi Layak,TPM Sehat,PHBS,Rumah Sehat,Batang Rokok per minggu,Pengobatan Lengkap,u,v
Pacitan,66,91.3,35,44,76.36,58,46.7,111.1790708,-8.126200966
Ponorogo,133,95.1,56.4,66.8,79.71,55.55,56.3,111.4993659,-7.931320199
Trenggalek,80,100,84.4,42.4,81.16,59.43,70.2,111.6262765,-8.161719783
Tulungagung,119,97.3,78,43,78.77,66.08,56.5,111.8872021,-8.113253768
Blitar,74,97.6,63.5,62,69.92,63.46,49.9,112.2368001,-8.129433004
Kediri,120,88.6,13.2,49.6,78.74,80.92,52.3,112.0863427,-7.828759903
Malang,107,93.3,70,41.7,71.69,84.03,47.4,112.6407066,-8.121300073
Lumajang,185,94.7,57.3,32.4,93.58,58.66,57.8,113.1375745,-8.125301062
Jember,172,74.9,65.7,68.1,88.37,76.07,27.3,113.6634941,-8.230025211
Banyuwangi,164,100,87.3,43.7,74.3,75.11,64.4,114.20545,-8.36481798
Bondowoso,192,66.2,69.4,30.7,80.06,78.54,48.5,113.9475505,-7.944023451
Situbondo,183,66.6,55.8,29.4,58.9,91.41,51.5,114.0524061,-7.801377541
Probolinggo,144,74,58.2,18.2,34.78,81.59,44.3,113.3209933,-7.866758082
Pasuruan,196,83.9,52.3,33.7,72.26,87.05,62.2,112.8315585,-7.74318063
Sidoarjo,158,92.8,60.2,67.6,83.18,82.49,51,112.7002808,-7.451632136
Mojokerto,140,88.1,37,75,70.51,72.17,51.2,112.4842774,-7.548271163
Jombang,133,94.5,61,55.2,80.86,74.74,48.5,112.2651295,-7.545102365
Nganjuk,102,98.4,70.8,45.2,68.72,71,65.6,111.9384386,-7.597422632
Madiun,182,97.2,5.9,50.2,80.69,71,61.7,111.6456729,-7.624238495
Magetan,122,100,63.6,62,79.62,60.63,59.9,111.3579023,-7.662881348
Ngawi,127,90.2,62.7,47.3,54.78,69.72,40.6,111.3430901,-7.439238531
Bojonegoro,149,96.8,63.2,52.5,72.97,79.3,50,111.8098374,-7.25543276
Tuban,171,82.6,58.7,79.8,67.8,81.44,47.3,111.8914862,-6.953156431
Lamongan,191,100,100,83.2,92.78,84.51,48.9,112.3007565,-7.131243704
Gresik,191,99.4,48,71.8,86.95,73.46,45.1,112.5386185,-7.146269985
Bangkalan,147,97.8,68.9,54.2,88.25,88.56,46.2,112.9301904,-7.043866686
Sampang,114,92.7,15.3,51.8,29.67,106.29,54.4,113.2561322,-7.051973833
Pamekasan,126,99.9,62.2,39.3,52.89,104.77,38.8,113.5038857,-7.064970384
Sumenep,172,88.7,52.9,77.2,49.27,105.4,46,113.8204692,-6.990251188
Kota Kediri,302,100.3,63.3,52,89.92,68.72,61.6,112.0138378,-7.826305075
Kota Blitar,195,100,65.5,42.5,52.78,65.3,55.8,112.166997,-8.095024344
Kota Malang,255,100,82.4,40.7,80.83,74.83,58.3,112.6363796,-7.978964242
Kota Probolinggo,332,95.6,75.5,49.9,89.22,54.04,58.3,113.2053227,-7.775066649
Kota Pasuruan,290,93.6,60.7,35.9,84.98,81.63,49.6,112.9096907,-7.649963617
Kota Mojokerto,353,97.9,64.9,63.6,82.59,66.1,58.7,112.4374366,-7.47131265
Kota Madiun,401,100,94.9,65.2,86.87,64.51,63.8,111.5283718,-7.627493144
Kota Surabaya,275,98.2,92.7,68.7,87.28,73.01,55.4,112.7226878,-7.275410129
Kota Batu,117,100,79.9,36.6,97.85,83.72,57.5,112.5311201,-7.83310858
